Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 14:51:09,2023-11-01 14:51:11,1.896s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_View a demo""))",Chrome 118.0.0.0,,,2023-11-01 14:51:11,2023-11-01 14:51:14,3.070s,PASSED
"waitForElementClickable(findTestObject(""Katalon/Page_View a demo  Katalon/divwistia_87.big_play_button_background""), 10)",Chrome 118.0.0.0,,,2023-11-01 14:51:14,2023-11-01 14:51:15,1.431s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Katalon/Page_View a demo  Katalon/divwistia_87.big_play_button_background""))",Chrome 118.0.0.0,,,2023-11-01 14:51:15,2023-11-01 14:51:16,0.352s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:51:16,2023-11-01 14:51:16,0.366s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:16,2023-11-01 14:51:16,0.001s,PASSED
,,,,,,,
Test Cases/Katalon Course finding,Chrome 118.0.0.0,,,2023-11-01 14:51:16,2023-11-01 14:51:40,23.489s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:16,2023-11-01 14:51:16,0.001s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:51:16,2023-11-01 14:51:19,2.942s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 14:51:19,2023-11-01 14:51:22,3.136s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:51:22,2023-11-01 14:51:23,0.140s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 14:51:23,2023-11-01 14:51:24,1.873s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_Resources""))",Chrome 118.0.0.0,,,2023-11-01 14:51:24,2023-11-01 14:51:25,0.722s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_Resources""))",Chrome 118.0.0.0,,,2023-11-01 14:51:25,2023-11-01 14:51:26,0.579s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_Academy""))",Chrome 118.0.0.0,,,2023-11-01 14:51:26,2023-11-01 14:51:26,0.487s,PASSED
"switchToWindowTitle(""Katalon Academy - Automation Testing Courses to Level Up"")",Chrome 118.0.0.0,,,2023-11-01 14:51:26,2023-11-01 14:51:30,3.372s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Academy - Automation Testing C_4c4a56/button_Choose a course""))",Chrome 118.0.0.0,,,2023-11-01 14:51:30,2023-11-01 14:51:31,0.970s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Academy - Automation Testing C_4c4a56/span_""))",Chrome 118.0.0.0,,,2023-11-01 14:51:31,2023-11-01 14:51:31,0.700s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Academy - Automation Testing C_4c4a56/img""))",Chrome 118.0.0.0,,,2023-11-01 14:51:31,2023-11-01 14:51:32,0.858s,PASSED
"setText(findTestObject(""Object Repository/Katalon/Page_Katalon Academy - Automation Testing C_4c4a56/input_s""), ""test automation"")",Chrome 118.0.0.0,,,2023-11-01 14:51:32,2023-11-01 14:51:33,0.778s,PASSED
"sendKeys(findTestObject(""Object Repository/Katalon/Page_Katalon Academy - Automation Testing C_4c4a56/input_s""), Keys.chord(ENTER))",Chrome 118.0.0.0,,,2023-11-01 14:51:33,2023-11-01 14:51:35,1.596s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_You searched for test automation - Kat_2262e6/a_Test Authoring With Katalon Handling Aler_e0066a""))",Chrome 118.0.0.0,,,2023-11-01 14:51:35,2023-11-01 14:51:38,3.713s,PASSED
